address_id,address,address2,district,city_id,postal_code,phone,location,last_update
14,"1531 Sal Drive",,Esfahan,162,53628,648856936185,...,"2014-09-25 22:31:36"
15,"1542 Tarlac Parkway",,Kanagawa,440,1027,635297277345,...,"2014-09-25 22:31:53"
18,"770 Bydgoszcz Avenue",,California,120,16266,517338314235,...,"2014-09-25 22:33:47"
28,"96 Tafuna Way",,Córdoba,128,99865,934730187245,...,"2014-09-25 22:30:05"
31,"217 Botshabelo Place",,"Southern Mindanao",138,49521,665356572025,...,"2014-09-25 22:32:36"
32,"1425 Shikarpur Manor",,Bihar,346,65599,678220867005,...,"2014-09-25 22:31:20"
38,"61 Tama Street",,Okayama,284,94065,708403338270,...,"2014-09-25 22:31:49"
40,"334 Munger (Monghyr) Lane",,Markazi,31,38145,481183273622,...,"2014-09-25 22:31:36"
41,"1440 Fukuyama Loop",,Henan,362,47929,912257250465,...,"2014-09-25 22:30:40"
50,"46 Pjatigorsk Lane",,"Moscow (City)",343,23616,262076994845,...,"2014-09-25 22:32:55"
51,"686 Garland Manor",,Cear,247,52535,69493378813,...,"2014-09-25 22:30:19"
63,"1213 Ranchi Parkway",,Karnataka,350,94352,800024380485,...,"2014-09-25 22:31:21"
66,"1717 Guadalajara Lane",,Missouri,441,85505,914090181665,...,"2014-09-25 22:33:59"
67,"1214 Hanoi Way",,Nebraska,306,67055,491001136577,...,"2014-09-25 22:33:56"
68,"1966 Amroha Avenue",,Sichuan,139,70385,333489324603,...,"2014-09-25 22:30:32"
71,"1586 Guaruj Place",,Hunan,579,5135,947233365992,...,"2014-09-25 22:30:46"
73,"1031 Daugavpils Parkway",,Béchar,63,59025,107137400143,...,"2014-09-25 22:29:59"
75,"492 Cam Ranh Street",,"Eastern Visayas",61,50805,565018274456,...,"2014-09-25 22:32:34"
82,"936 Salzburg Lane",,"Uttar Pradesh",425,96709,875756771675,...,"2014-09-25 22:31:24"
86,"927 Baha Blanca Parkway",,Krim,479,9495,821972242086,...,"2014-09-25 22:33:33"
99,"1697 Tanauan Lane",,Punjab,399,22870,4764773857,...,"2014-09-25 22:31:22"
100,"1308 Arecibo Way",,Georgia,41,30695,6171054059,...,"2014-09-25 22:33:43"
102,"669 Firozabad Loop",,"Abu Dhabi",12,92265,412903167998,...,"2014-09-25 22:33:35"
107,"1177 Jelets Way",,"Kwara & Kogi",220,3305,484292626944,...,"2014-09-25 22:32:24"
117,"1079 Tel Aviv-Jaffa Boulevard",,Sucre,132,10885,358178933857,...,"2014-09-25 22:34:04"
122,"333 Goinia Way",,Texas,185,78625,909029256431,...,"2014-09-25 22:33:51"
123,"1987 Coacalco de Berriozbal Loop",,al-Qalyubiya,476,96065,787654415858,...,"2014-09-25 22:30:58"
126,"1175 Tanauan Way",,Lima,305,64615,937222955822,...,"2014-09-25 22:32:33"
128,"848 Tafuna Manor",,Kütahya,281,45142,614935229095,...,"2014-09-25 22:33:27"
129,"569 Baicheng Lane",,Gauteng,85,60304,490211944645,...,"2014-09-25 22:33:02"
130,"1666 Qomsheh Drive",,"São Paulo",410,66255,582835362905,...,"2014-09-25 22:30:20"
133,"1854 Tieli Street",,Shandong,302,15819,509492324775,...,"2014-09-25 22:30:39"
134,"758 Junan Lane",,Gois,190,82639,935448624185,...,"2014-09-25 22:30:18"
138,"765 Southampton Drive",,al-Qalyubiya,421,4285,23712411567,...,"2014-09-25 22:30:57"
139,"943 Johannesburg Avenue",,Maharashtra,417,5892,90921003005,...,"2014-09-25 22:31:24"
153,"782 Mosul Street",,Massachusetts,94,25545,885899703621,...,"2014-09-25 22:33:46"
161,"1386 Nakhon Sawan Boulevard",,Pyongyang-si,420,53502,368899174225,...,"2014-09-25 22:32:28"
162,"369 Papeete Way",,"North Carolina",187,66639,170117068815,...,"2014-09-25 22:33:52"
169,"154 Tallahassee Loop",,Xinxiang,199,62250,935508855935,...,"2014-09-25 22:30:34"
183,"1089 Iwatsuki Avenue",,Kirov,270,35109,866092335135,...,"2014-09-25 22:32:50"
193,"891 Novi Sad Manor",,Ontario,383,5379,247646995453,...,"2014-09-25 22:30:28"
196,"9 San Miguel de Tucumn Manor",,"Uttar Pradesh",169,90845,956188728558,...,"2014-09-25 22:31:15"
202,"955 Bamenda Way",,"Ondo & Ekiti",218,1545,768481779568,...,"2014-09-25 22:32:24"
203,"1149 A Corua (La Corua) Boulevard",,Haiphong,194,95824,470884141195,...,"2014-09-25 22:34:06"
210,"1304 ´s-Hertogenbosch Way",,"Santa Catarina",83,10925,90336226227,...,"2014-09-25 22:30:16"
213,"43 Dadu Avenue",,Rajasthan,74,4855,95666951770,...,"2014-09-25 22:31:12"
214,"751 Lima Loop",,Aden,7,99405,756460337785,...,"2014-09-25 22:34:08"
217,"1001 Miyakonojo Lane",,Taizz,518,67924,584316724815,...,"2014-09-25 22:34:11"
227,"1820 Maring Parkway",,Punjab,324,88307,99760893676,...,"2014-09-25 22:32:30"
237,"1736 Cavite Place",,Qina,216,98775,431770603551,...,"2014-09-25 22:30:56"
242,"1964 Gijn Manor",,Karnataka,473,14408,918119601885,...,"2014-09-25 22:31:26"
246,"1246 Boksburg Parkway",,Hebei,422,28349,890283544295,...,"2014-09-25 22:30:41"
255,"1966 Tonghae Street",,"Anhalt Sachsen",198,36481,567359279425,...,"2014-09-25 22:31:05"
266,"862 Xintai Lane",,"Cagayan Valley",548,30065,265153400632,...,"2014-09-25 22:32:41"
275,"906 Goinia Way",,Wielkopolskie,255,83565,701767622697,...,"2014-09-25 22:32:42"
281,"1944 Bamenda Way",,Michigan,573,24645,75975221996,...,"2014-09-25 22:34:03"
287,"1405 Chisinau Place",,Ponce,411,8160,62781725285,...,"2014-09-25 22:32:45"
292,"1993 Tabuk Lane",,"Tamil Nadu",522,64221,648482415405,...,"2014-09-25 22:31:27"
293,"86 Higashiosaka Lane",,Guanajuato,563,33768,957128697225,...,"2014-09-25 22:32:14"
295,"544 Tarsus Boulevard",,Gurico,562,53145,892523334,...,"2014-09-25 22:34:05"
296,"1936 Cuman Avenue",,Virginia,433,61195,976798660411,...,"2014-09-25 22:33:58"
297,"1192 Tongliao Street",,Sharja,470,19065,350970907017,...,"2014-09-25 22:33:35"
301,"951 Stara Zagora Manor",,Punjab,400,98573,429925609431,...,"2014-09-25 22:31:22"
302,"922 Vila Velha Loop",,Maharashtra,9,4085,510737228015,...,"2014-09-25 22:31:10"
306,"1883 Maikop Lane",,Kaliningrad,254,68469,96110042435,...,"2014-09-25 22:32:50"
319,"1957 Yantai Lane",,"São Paulo",490,59255,704948322302,...,"2014-09-25 22:30:22"
320,"1542 Lubumbashi Boulevard",,"Tel Aviv",57,62472,508800331065,...,"2014-09-25 22:31:41"
329,"867 Benin City Avenue",,Henan,591,78543,168884817145,...,"2014-09-25 22:30:50"
337,"1838 Tabriz Lane",,Dhaka,143,1195,38988715447,...,"2014-09-25 22:30:12"
363,"604 Bern Place",,Jharkhand,429,5373,620719383725,...,"2014-09-25 22:31:25"
365,"1009 Zanzibar Lane",,Arecibo,32,64875,102396298916,...,"2014-09-25 22:32:45"
369,"817 Laredo Avenue",,Jalisco,188,77449,151249681135,...,"2014-09-25 22:32:06"
371,"1912 Emeishan Drive",,Balikesir,50,33050,99883471275,...,"2014-09-25 22:33:22"
374,"433 Florencia Street",,Chihuahua,250,91330,561729882725,...,"2014-09-25 22:32:08"
380,"1519 Santiago de los Caballeros Loop",,"East Kasai",348,22025,409315295763,...,"2014-09-25 22:30:53"
381,"1618 Olomouc Manor",,Kurgan,285,26385,96846695220,...,"2014-09-25 22:32:51"
388,"368 Hunuco Boulevard",,Namibe,360,17165,106439158941,...,"2014-09-25 22:30:03"
391,"1793 Meixian Place",,Hmelnytskyi,258,33535,619966287415,...,"2014-09-25 22:33:31"
393,"717 Changzhou Lane",,"Southern Tagalog",104,21615,426255288071,...,"2014-09-25 22:32:36"
404,"734 Bchar Place",,Punjab,375,30586,280578750435,...,"2014-09-25 22:32:31"
410,"88 Nagaon Manor",,"Buenos Aires",524,86868,779461480495,...,"2014-09-25 22:30:07"
413,"692 Amroha Drive",,Northern,230,35575,359478883004,...,"2014-09-25 22:33:10"
415,"432 Garden Grove Street",,Ontario,430,65630,615964523510,...,"2014-09-25 22:30:28"
417,"791 Salinas Street",,Punjab,208,40509,129953030512,...,"2014-09-25 22:31:17"
427,"1557 Cape Coral Parkway",,Hubei,293,46875,368284120423,...,"2014-09-25 22:30:38"
431,"1596 Acua Parkway",,Jharkhand,418,70425,157133457169,...,"2014-09-25 22:31:24"
435,"740 Udaipur Lane",,"Nizni Novgorod",150,33505,497288595103,...,"2014-09-25 22:32:47"
439,"1351 Aparecida de Goinia Parkway",,"Northern Mindanao",391,41775,959834530529,...,"2014-09-25 22:32:38"
443,"1836 Korla Parkway",,Copperbelt,272,55405,689681677428,...,"2014-09-25 22:34:11"
446,"1924 Shimonoseki Drive",,Batna,59,52625,406784385440,...,"2014-09-25 22:29:59"
453,"319 Springs Loop",,Baijeri,160,99552,72524459905,...,"2014-09-25 22:31:05"
456,"814 Simferopol Loop",,Sinaloa,154,48745,524567129902,...,"2014-09-25 22:32:05"
459,"251 Florencia Drive",,"Michoacn de Ocampo",556,16119,118011831565,...,"2014-09-25 22:32:13"
